case_id,pattern_index,mitigation_pattern,mitigation_disposition,candidate_specific_validation_status,public_source_ids,claim_boundary
BMSA05-F01,2,MIT-COW-TEST-02: compile and execute target-configuration tests that independently vary NORMAL and CHARGE settings.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,TI_OPEN_WIRE;ADI_LTC6813;FOXBMS_UNIT_TESTS,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA05-F01,3,Reject or diagnose ambiguous mode/configuration combinations during configuration validation.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,TI_OPEN_WIRE;ADI_LTC6813;FOXBMS_UNIT_TESTS,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA07-F01,1,Represent diagnostic delays with typed duration constants whose names are generated from or checked against values.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_HEALTH_MONITORING;FOXBMS_UNIT_TEST_HOWTO;NASA_UNIT_TESTING,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA07-F01,2,Add compile-time assertions for named-unit/value equality and accepted ranges.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_HEALTH_MONITORING;FOXBMS_UNIT_TEST_HOWTO;NASA_UNIT_TESTING,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA07-F01,3,Compile exact configuration rows in unit tests and assert the consumed delay value.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_HEALTH_MONITORING;FOXBMS_UNIT_TEST_HOWTO;NASA_UNIT_TESTING,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA08-F02,1,"After a close request, transition to a distinct feedback-verification state.",MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_STATE_MANAGEMENT;AUTOSAR_HEALTH_MONITORING;NASA_UNIT_TESTING,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA08-F02,2,Track progress per string and update the connected-string count only after verified feedback.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_STATE_MANAGEMENT;AUTOSAR_HEALTH_MONITORING;NASA_UNIT_TESTING,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA08-F02,3,Apply a finite deadline with explicit failure/rollback and test every transition edge.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_STATE_MANAGEMENT;AUTOSAR_HEALTH_MONITORING;NASA_UNIT_TESTING,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA09-F03,1,Attach a finite deadline and retry budget to every acknowledgement-wait state.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_HEALTH_MONITORING;AUTOSAR_STATE_MANAGEMENT;FOXBMS_UNIT_TESTS,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA09-F03,2,Transition timeout exhaustion to a defined initialization-error or degraded state.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_HEALTH_MONITORING;AUTOSAR_STATE_MANAGEMENT;FOXBMS_UNIT_TESTS,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA09-F03,3,"Test ACK, negative response, dropped response, late response, and retry exhaustion deterministically.",MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_HEALTH_MONITORING;AUTOSAR_STATE_MANAGEMENT;FOXBMS_UNIT_TESTS,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA10-F01,1,"Specify lateness, execution overrun, and their reaction semantics as separate named predicates.",MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_HEALTH_MONITORING;NASA_UNIT_TESTING;NASA_COVERAGE,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA10-F01,2,"Supervise arrival/alive, execution deadline, and logical control flow independently where required.",MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_HEALTH_MONITORING;NASA_UNIT_TESTING;NASA_COVERAGE,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA10-F01,3,"Add truth-table tests for neither, each predicate alone, and both predicates together.",MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_HEALTH_MONITORING;NASA_UNIT_TESTING;NASA_COVERAGE,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA08-F01,1,"Compute the channel index as an integer expression, then enforce an explicit bounds assertion before access.",MAPPED_NOT_VALIDATED,NOT_VALIDATED,TI_OPEN_WIRE;ADI_LTC6813;FOXBMS_UNIT_TEST_HOWTO,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA08-F01,2,Reset the detected-wire accumulator independently for each string.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,TI_OPEN_WIRE;ADI_LTC6813;FOXBMS_UNIT_TEST_HOWTO,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA08-F01,3,Run single-hot tests for every configured index plus multi-string carry-over cases.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,TI_OPEN_WIRE;ADI_LTC6813;FOXBMS_UNIT_TEST_HOWTO,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA09-F01,1,"Track validity, timestamp, fragment number, and epoch separately for every fragment.",MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_E2E_PROTOCOL;FOXBMS_COMMUNICATION;AUTOSAR_E2E_LIBRARY,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA09-F01,2,Commit the aggregate atomically only after all required fragments from one epoch are present.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_E2E_PROTOCOL;FOXBMS_COMMUNICATION;AUTOSAR_E2E_LIBRARY,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA09-F01,3,Invalidate or age out missing members rather than refreshing the whole aggregate header.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_E2E_PROTOCOL;FOXBMS_COMMUNICATION;AUTOSAR_E2E_LIBRARY,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA09-F02,1,Calculate and compare the specified CRC before accepting or storing the payload.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_E2E_PROTOCOL;AUTOSAR_E2E_LIBRARY;FOXBMS_COMMUNICATION,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA09-F02,2,"Enforce a documented rolling-counter window with duplicate, replay, jump, and wrap handling.",MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_E2E_PROTOCOL;AUTOSAR_E2E_LIBRARY;FOXBMS_COMMUNICATION,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA09-F02,3,Reject or mark invalid on integrity failure and raise a separately testable diagnostic.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_E2E_PROTOCOL;AUTOSAR_E2E_LIBRARY;FOXBMS_COMMUNICATION,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA10-F02,1,Create direct tests for every public state request and every internal transition/substate edge.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,NASA_UNIT_TESTING;NASA_COVERAGE;FOXBMS_UNIT_TESTS;FOXBMS_UNIT_TEST_HOWTO,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA10-F02,2,Maintain a requirements-to-transition-to-test trace matrix including failure and timeout edges.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,NASA_UNIT_TESTING;NASA_COVERAGE;FOXBMS_UNIT_TESTS;FOXBMS_UNIT_TEST_HOWTO,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA10-F02,3,Measure coverage by configuration variant and investigate each uncovered reachable transition.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,NASA_UNIT_TESTING;NASA_COVERAGE;FOXBMS_UNIT_TESTS;FOXBMS_UNIT_TEST_HOWTO,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA10-F03,1,Validate manufacturer/model values against a closed schema before generating build state.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,BAZEL_HERMETICITY;BAZEL_BUILD_FILES;FOXBMS_DATABASE_VALIDATION,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA10-F03,2,Declare every generated configuration input as an explicit build dependency.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,BAZEL_HERMETICITY;BAZEL_BUILD_FILES;FOXBMS_DATABASE_VALIDATION,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA10-F03,3,Use hermetic clean-build and stale-output differential tests across accepted and rejected configurations.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,BAZEL_HERMETICITY;BAZEL_BUILD_FILES;FOXBMS_DATABASE_VALIDATION,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA06-F01,1,Represent zero valid temperature samples as an explicit invalid aggregate state.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,IEEE_SENSOR_FAULT_DIAGNOSIS;ADI_LTC6813;AUTOSAR_HEALTH_MONITORING,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA06-F01,2,Do not evaluate thermal SOA with sentinel extrema; hold or degrade the diagnostic state until valid evidence returns.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,IEEE_SENSOR_FAULT_DIAGNOSIS;ADI_LTC6813;AUTOSAR_HEALTH_MONITORING,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA06-F01,3,Require recovery evidence/hysteresis before OK events can decrement or clear an active thermal fatal counter.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,IEEE_SENSOR_FAULT_DIAGNOSIS;ADI_LTC6813;AUTOSAR_HEALTH_MONITORING,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
